timestamp,open,high,low,close,volume
1700000000000,35000.0,35500.0,34800.0,35200.0,1000.0
1700003600000,35200.0,35800.0,35100.0,35700.0,1200.0
1700007200000,35700.0,35900.0,35500.0,35600.0,1100.0
1700010800000,35600.0,36000.0,35400.0,35900.0,1500.0
1700014400000,35900.0,36200.0,35800.0,36100.0,1300.0
1700018000000,36100.0,36300.0,36000.0,36200.0,1400.0
1700021600000,36200.0,36100.0,35800.0,35900.0,1250.0
1700025200000,35900.0,36000.0,35700.0,35800.0,1150.0
1700028800000,35800.0,36200.0,35750.0,36150.0,1600.0
1700032400000,36150.0,36500.0,36100.0,36400.0,2000.0
